# Paibi Sentence Locations
# File <Number>: Paragraph <Number>, Sentence <Number>
File 010110798: Paragraph 10, Sentence 1
File 010110849: Paragraph 2, Sentence 2
File 010110850: Paragraph 3, Sentence 3
File 010110850: Paragraph 7, Sentence 3
File 010110860: Paragraph 4, Sentence 3
File 010110864: Paragraph 9, Sentence 3
File 010110878: Paragraph 6, Sentence 4
File 010110890: Paragraph 2, Sentence 1
File 010110890: Paragraph 8, Sentence 1
File 010110910: Paragraph 7, Sentence 2
File 010110927: Paragraph 3, Sentence 1
File 010110927: Paragraph 7, Sentence 4
File 010110938: Paragraph 6, Sentence 1
File 010110943: Paragraph 2, Sentence 4
File 010110943: Paragraph 3, Sentence 1
File 010110955: Paragraph 2, Sentence 1
File 010111010: Paragraph 10, Sentence 1
File 010111010: Paragraph 12, Sentence 1
File 010111025: Paragraph 4, Sentence 2
File 010111047: Paragraph 2, Sentence 2
File 010111048: Paragraph 3, Sentence 6
File 010111057: Paragraph 6, Sentence 5
File 010111057: Paragraph 12, Sentence 1
File 010111060: Paragraph 6, Sentence 1
File 010111086: Paragraph 12, Sentence 1
File 010111089: Paragraph 4, Sentence 4
File 010111143: Paragraph 3, Sentence 3
File 010111143: Paragraph 13, Sentence 1
File 010111146: Paragraph 7, Sentence 2
File 012210469: Paragraph 12, Sentence 1
File 012210504: Paragraph 12, Sentence 1
File 012210961: Paragraph 11, Sentence 1
File 012211106: Paragraph 12, Sentence 1
File 012211106: Paragraph 12, Sentence 2
File 012211144: Paragraph 8, Sentence 3
File 012211144: Paragraph 14, Sentence 1
File 012211728: Paragraph 3, Sentence 2
File 012211728: Paragraph 10, Sentence 1
File 022250098: Paragraph 9, Sentence 1
File 032210094: Paragraph 6, Sentence 3
File 033010010: Paragraph 20, Sentence 1
File 033250499: Paragraph 3, Sentence 3
File 040150278: Paragraph 5, Sentence 1
File 042150796: Paragraph 10, Sentence 1
File 048110837: Paragraph 6, Sentence 1
File 048131422: Paragraph 2, Sentence 6
File 10: Paragraph 8, Sentence 4
File 100: Paragraph 2, Sentence 1
File 100: Paragraph 6, Sentence 1
File 100: Paragraph 7, Sentence 1
File 100: Paragraph 8, Sentence 1
File 100: Paragraph 9, Sentence 1
File 100: Paragraph 9, Sentence 2
File 100: Paragraph 11, Sentence 1
File 1000: Paragraph 7, Sentence 9
File 1014: Paragraph 3, Sentence 1
File 1020204608: Paragraph 2, Sentence 3
File 1020204608: Paragraph 3, Sentence 1
File 1020204619: Paragraph 10, Sentence 1
File 1020204623: Paragraph 6, Sentence 2
File 1020204703: Paragraph 7, Sentence 1
File 1020204704: Paragraph 5, Sentence 4
File 1020204708: Paragraph 2, Sentence 3
File 1020204720: Paragraph 5, Sentence 1
File 1020204725: Paragraph 2, Sentence 1
File 1020204801: Paragraph 9, Sentence 2
File 1020204806: Paragraph 11, Sentence 1
File 1020204807: Paragraph 3, Sentence 1
File 1020204813: Paragraph 3, Sentence 1
File 1020204815: Paragraph 2, Sentence 2
File 1020204815: Paragraph 11, Sentence 3
File 1020204819: Paragraph 4, Sentence 6
File 1020204823: Paragraph 4, Sentence 3
File 1020204827: Paragraph 2, Sentence 6
File 1020204827: Paragraph 5, Sentence 3
File 1020204830: Paragraph 12, Sentence 1
File 1020204913: Paragraph 3, Sentence 3
File 1020204921: Paragraph 9, Sentence 2
File 1020204926: Paragraph 3, Sentence 1
File 1020205002: Paragraph 7, Sentence 4
File 1020205002: Paragraph 8, Sentence 2
File 1020205005: Paragraph 6, Sentence 1
File 1020205005: Paragraph 7, Sentence 1
File 1020205005: Paragraph 8, Sentence 1
File 1020205024: Paragraph 2, Sentence 2
File 1020205123: Paragraph 12, Sentence 1
File 1020205129: Paragraph 5, Sentence 1
File 1020205130: Paragraph 7, Sentence 1
File 1025: Paragraph 7, Sentence 1
File 1029: Paragraph 4, Sentence 1
File 1034: Paragraph 9, Sentence 1
File 1036: Paragraph 6, Sentence 1
File 1044: Paragraph 3, Sentence 9
File 1048: Paragraph 7, Sentence 4
File 1060102726: Paragraph 7, Sentence 4
File 1063: Paragraph 10, Sentence 1
File 1063: Paragraph 10, Sentence 3
File 1074: Paragraph 10, Sentence 3
File 108: Paragraph 2, Sentence 1
File 108: Paragraph 10, Sentence 2
File 108: Paragraph 10, Sentence 3
File 108: Paragraph 11, Sentence 3
File 11: Paragraph 3, Sentence 1
File 110112047: Paragraph 10, Sentence 1
File 1104: Paragraph 8, Sentence 7
File 1111: Paragraph 8, Sentence 1
File 1116: Paragraph 7, Sentence 1
File 1117: Paragraph 5, Sentence 1
File 1117: Paragraph 5, Sentence 2
File 1117: Paragraph 10, Sentence 3
File 1119: Paragraph 5, Sentence 6
File 112: Paragraph 8, Sentence 3
File 1120101201: Paragraph 9, Sentence 2
File 112250677: Paragraph 2, Sentence 1
File 112250677: Paragraph 2, Sentence 2
File 112250677: Paragraph 3, Sentence 2
File 1132: Paragraph 10, Sentence 1
File 114: Paragraph 8, Sentence 1
File 114: Paragraph 8, Sentence 4
File 1143: Paragraph 10, Sentence 1
File 115: Paragraph 4, Sentence 1
File 115: Paragraph 11, Sentence 2
File 1166: Paragraph 4, Sentence 2
File 1166: Paragraph 6, Sentence 8
File 1168: Paragraph 2, Sentence 1
File 1170: Paragraph 2, Sentence 39
File 1171: Paragraph 7, Sentence 3
File 1180: Paragraph 2, Sentence 1
File 1183: Paragraph 4, Sentence 1
File 1188: Paragraph 9, Sentence 1
File 1188: Paragraph 9, Sentence 2
File 1188: Paragraph 18, Sentence 1
File 119: Paragraph 4, Sentence 1
File 119: Paragraph 4, Sentence 2
File 1199: Paragraph 6, Sentence 1
File 12: Paragraph 8, Sentence 1
File 120: Paragraph 3, Sentence 1
File 120: Paragraph 6, Sentence 1
File 120: Paragraph 6, Sentence 2
File 1202: Paragraph 3, Sentence 1
File 1202: Paragraph 4, Sentence 1
File 1202: Paragraph 6, Sentence 1
File 1202: Paragraph 7, Sentence 1
File 1202: Paragraph 9, Sentence 1
File 1211: Paragraph 4, Sentence 2
File 1213: Paragraph 4, Sentence 2
File 1213: Paragraph 9, Sentence 1
File 1213: Paragraph 10, Sentence 1
File 122: Paragraph 3, Sentence 5
File 122: Paragraph 4, Sentence 7
File 1220100112: Paragraph 9, Sentence 2
File 1220101822: Paragraph 2, Sentence 1
File 1220101822: Paragraph 8, Sentence 1
File 1220204122: Paragraph 3, Sentence 3
File 1224: Paragraph 8, Sentence 7
File 1231: Paragraph 7, Sentence 1
File 1235: Paragraph 4, Sentence 17
File 124: Paragraph 4, Sentence 1
File 1240100811: Paragraph 8, Sentence 1
File 1240104803: Paragraph 7, Sentence 1
File 1246: Paragraph 2, Sentence 3
File 1246: Paragraph 3, Sentence 1
File 1247: Paragraph 7, Sentence 1
File 1247: Paragraph 12, Sentence 2
File 1247: Paragraph 13, Sentence 2
File 1247: Paragraph 13, Sentence 3
File 1247: Paragraph 13, Sentence 5
File 1258: Paragraph 17, Sentence 3
File 1269: Paragraph 4, Sentence 1
File 1269: Paragraph 5, Sentence 2
File 1275: Paragraph 13, Sentence 6
File 1277: Paragraph 4, Sentence 1
File 1288: Paragraph 5, Sentence 1
File 1289: Paragraph 13, Sentence 4
File 1290: Paragraph 7, Sentence 1
File 1291: Paragraph 4, Sentence 7
File 1291: Paragraph 5, Sentence 6
File 1291: Paragraph 6, Sentence 3
File 1303: Paragraph 12, Sentence 1
File 1307: Paragraph 4, Sentence 1
File 1329: Paragraph 5, Sentence 4
File 1330: Paragraph 4, Sentence 2
File 1342: Paragraph 6, Sentence 4
